Sponsor,Total Protocols,Distinct Brands
BOEHRINGER INGELHEIM INTERNATIONAL GMBH,8,5
MACROGENICS INC,8,8
UNITED THERAPEUTICS CORPORATION,8,3
ACCELERON PHARMA INC,8,3
ARENA PHARMACEUTICALS INC,8,3
"SAREPTA THERAPEUTICS, INC",8,6
ASTEX PHARMACEUTICALS INC.,8,7
SANOTIZE RESEARCH & DEVELOPMENT CORP,8,3
GALDERMA CANADA INC,8,7
"APELLIS PHARMACEUTICALS, INC",8,2
ABBVIE INC,8,8
ACTELION PHARMACEUTICALS CANADA INC,8,4
BLUEPRINT MEDICINES CORPORATION,8,4
"JAEB CENTER FOR HEALTH RESEARCH FOUNDATION, INC",8,5
LUMENA PHARMACEUTICALS INC,8,2
"QED THERAPEUTICS, INC.",8,4
EXELIXIS INC,8,7
PRINCESS MARGARET HOSPITAL PHASE I CONSORTIUM,8,8
BRITISH COLUMBIA CHILDRENS HOSPITAL,8,7
VIIV HEALTHCARE ULC,8,5
MEDIMMUNE LIMITED,8,6
BAXALTA US INC,7,7
GENZYME CORPORATION,7,5
MILESTONE PHARMACEUTICALS INC,7,1
XENON PHARMACEUTICALS INC,7,4
UNITY HEALTH TORONTO,7,7
ST JOSEPHS HEALTHCARE,7,6
ENDOCEUTICS INC,7,3
"REVANCE THERAPEUTICS, INC.",7,2
CRISPR THERAPEUTICS INC,7,7
PHARVARIS NETHERLANDS B.V.,7,3
ADAPTIMMUNE LLC,7,6
"ESPERION THERAPEUTICS, INC",7,3
ZEALAND PHARMA A/S,7,3
ANAPTYSBIO INC,7,7
SPECTRUM PHARMACEUTICALS INC,7,7
IMMUNOGEN INC,7,5
IMMUNOCORE LTD.,7,6
CHILDRENS HOSPITAL OF EASTERN ONTARIO,7,7
SPARK THERAPEUTICS INC,7,7
ALDEYRA THERAPEUTICS INC,7,4
DERMAVANT SCIENCES GMBH,7,3
ALKERMES INC,7,4
DECIPHERA PHARMACEUTICALS. LLC,7,5
HORIZON THERAPEUTICS IRELAND DAC,7,7
TESARO INC,7,4
ONTARIO CLINICAL ONCOLOGY GROUP,7,6
LOXO ONCOLOGY INC,7,6
"MIRUM PHARMACEUTICALS, INC",7,5
C17,7,14
NUBIYOTA,7,5
"AXSOME THERAPEUTICS, INC.",6,4
CSL BEHRING GMBH,6,5
PHARMACYCLICS LLC,6,6
MULTIDISIPLINARY ASSOCIATION FOR PSYCHEDELIC STUDIES,6,1
"EPIZYME, INC.",6,4
BIOMARIN PHARMACEUTICAL INC,6,5
TAURX THERAPEUTICS LTD,6,3
APOPHARMA INC,6,2
ST PAULS HOSPITAL VANCOUVER,6,6
CHIMERIX INC,6,3
BAXALTA INNOVATIONS GMBH,6,6
METSERA INC,6,6
CYMABAY THERAPEUTICS INC,6,4
MOONLAKE IMMUNOTHERAPEUTICS AG,6,1
ASSEMBLY BIOSCIENCES INCORPORATED,6,5
THERAVANCE BIOPHARMA IRELAND LIMITED,6,3
NEKTAR THERAPEUTICS,6,5
INTERCEPT PHARMACEUTICALS INC,6,4
"GALDERMA RESEARCH & DEVELOPMENT, LLC",6,2
GRIFOLS THERAPEUTICS INC,6,4
BIONTECH SE,6,6
KARTOS THERAPEUTICS INC,6,5
INSMED INC,6,3
"SAGE THERAPEUTICS, INC",6,3
AVIDITY BIOSCIENCES,6,4
DR NAVEEN POONAI,6,5
"EIDOS THERAPEUTICS, INC.",6,3
LUNDBECK CANADA INC,6,3
"GENMAB US, INC",6,6
ACERTA PHARMA BV,6,6
ST JOSEPHS HEALTH CENTRE LONDON,6,6
REBIOTIX INC,6,2
IMMUNOVACCINE TECHNOLOGIES,6,6
ABIVAX SA,6,2
"ARCUS BIOSCIENCES, INC.",6,6
PRINCIPIA BIOPHARMA INC,5,3
CHU SAINTE JUSTINE,5,5
ALECTOR INC,5,5
CORCEPT THERAPEUTICS INC,5,4
"GENZYME, A SANOFI COMPANY",5,4
CIUSSS DE L'EST DE L'ILE-DE-MONTRÉAL,5,5
PURDUE PHARMA,5,2
QU BIOLOGICS INC,5,4
RA PHARMACEUTICALS INC,5,2
FIBROGEN INCORPORATED,5,3
ALUMIS INC.,5,2
FORMA THERAPEUTICS INC,5,3
COHERUS BIOSCIENCES INC.,5,4
FORUM PHARMACEUTICALS INC,5,2
RIGEL PHARMACEUTICALS INC.,5,2
GALAPAGOS NV,5,3
IPSEN INNOVATION,5,4
KINGSTON HEALTH SCIENCE CENTRE,5,5
"AIMMUNE THERAPEUTICS, INC",5,4
UNIVERSITY OF ALBERTA,5,5
"CANADIAN IMMUNIZATION RESEARCH NETWORK (CIRN), DALHOUSIE UNIVERSITY",5,5
CARA THERAPEUTICS,5,2
THUNDER BAY REGIONAL HEALTH RESEARCH INSTITUTE,5,5
"CARDURION PHARMACEUTICALS, INC",5,3
NONO INC,5,3
"CASSAVA SCIENCES, INC.",5,2
"IDEAYA BIOSCIENCES, INC.",5,5
"AEGLEA BIOTHERAPEUTICS, INC",5,3
