Medical Condition,Protocol Count
IGA NEPHROPATHY,14
ALLERGIES ENVIRONMENTAL,14
TREATMENT RESISTANT DEPRESSION,14
SOFT TISSUE SARCOMA,14
RELAPSED AND/OR REFRACTORY B-CELL LYMPHOMA,14
SMALL LYMPHOCYTIC LYMPHOMA,14
CHOLANGIOCARCINOMA,14
VASOMOTOR SYMPTOMS,14
PRIMARY SCLEROSING CHOLANGITIS,14
GASTROINTESTINAL STROMAL TUMOR (GIST),13
MANTLE CELL LYMPHOMA,13
EOSINOPHILIC ESOPHAGITIS,13
CYTOMEGALOVIRUS,13
MYOTONIC DYSTROPHY,13
PANCREATIC ADENOCARCINOMA,13
ANKYLOSING SPONDYLITIS,13
OVERACTIVE BLADDER,13
NAUSEA AND VOMITING,13
KNEE ARTHROPLASTY,13
ADVANCED HEPATOCELLULAR CARCINOMA,13
THYROID EYE DISEASE,13
CIRRHOSIS OF THE LIVER,13
CHRONIC PLAQUE PSORIASIS,13
COGNITIVE IMPAIRMENT,13
ANXIETY DISORDER,12
NASAL POLYPOSIS,12
BREAST CANCER METASTATIC TRIPLE NEGATIVE,12
TRAUMATIC BRAIN INJURY,12
ALLERGIES RESPITATORY,12
GROWTH HORMONE DEFICIENCY,12
TRANSTHYRETIN AMYLOID CARDIOMYOPATHY,12
MYELOMONOCYTIC LEUKEMIA,12
EOSINOPHILIC ASTHMA,12
CHRONIC MYELOID LEUKEMIA,12
MALIGNANT SOLID TUMOURS,12
EPISODIC MIGRAINE,12
PRURITIS,12
GLABELLAR LINES,12
HETEROZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA,12
RELAPSED OR REFRACTORY SOLID TUMORS,12
UNSPECIFIED,11
B-CELL MALIGNANCIES,11
MUSCLE-INVASIVE BLADDER CANCER,11
MRI IMAGING,11
BILIARY CANCER,11
HEART DISEASE,11
DRAVET SYNDROME,11
BIPOLAR DEPRESSION,11
NASOPHARYNGEAL CARCINOMA,11
MESOTHELIOMA,11
ADDICTION,11
LUNG TRANSPLANT RECIPIENT,11
ANEURYSM,11
ACUTE CORONARY SYNDROME,11
RELAPSING-REMITTING MULTIPLE SCLEROSIS,11
NEUROMYELITIS OPTICA SPECTRUM DISORDER,11
ENDOMETRIOSIS,11
METABOLIC SYNDROME,11
SEDATION,10
GRANULOMATOSIS,10
HERPES ZOSTER,10
ALCOHOL USE DISORDER,10
ACHONDROPLASIA,10
SEIZURES,10
AUTOIMMUNE DISEASE,10
