Manufacturer,Drug Count,Rank
MEDIMMUNE LIMITED,8,133
VIIV HEALTHCARE ULC,8,134
"APELLIS PHARMACEUTICALS, INC",8,135
ACCELERON PHARMA INC,8,136
GALDERMA CANADA INC,8,137
MACROGENICS INC,8,138
BLUEPRINT MEDICINES CORPORATION,8,139
UNITED THERAPEUTICS CORPORATION,8,140
"SAREPTA THERAPEUTICS, INC",8,141
EXELIXIS INC,8,142
BRITISH COLUMBIA CHILDRENS HOSPITAL,8,143
"QED THERAPEUTICS, INC.",8,144
SANOTIZE RESEARCH & DEVELOPMENT CORP,8,145
ABBVIE INC,8,146
ASTEX PHARMACEUTICALS INC.,8,147
ARENA PHARMACEUTICALS INC,8,148
BOEHRINGER INGELHEIM INTERNATIONAL GMBH,8,149
"JAEB CENTER FOR HEALTH RESEARCH FOUNDATION, INC",8,150
PRINCESS MARGARET HOSPITAL PHASE I CONSORTIUM,8,151
NS PHARMA INC,8,152
ACTELION PHARMACEUTICALS CANADA INC,8,153
ONTARIO CLINICAL ONCOLOGY GROUP,7,154
CHILDRENS HOSPITAL OF EASTERN ONTARIO,7,155
LOXO ONCOLOGY INC,7,156
ZEALAND PHARMA A/S,7,157
IMMUNOCORE LTD.,7,158
SPECTRUM PHARMACEUTICALS INC,7,159
ADAPTIMMUNE LLC,7,160
"MIRUM PHARMACEUTICALS, INC",7,161
ALDEYRA THERAPEUTICS INC,7,162
"REVANCE THERAPEUTICS, INC.",7,163
BAXALTA US INC,7,164
TESARO INC,7,165
DERMAVANT SCIENCES GMBH,7,166
ANAPTYSBIO INC,7,167
HORIZON THERAPEUTICS IRELAND DAC,7,168
NUBIYOTA,7,169
MILESTONE PHARMACEUTICALS INC,7,170
DECIPHERA PHARMACEUTICALS. LLC,7,171
ST JOSEPHS HEALTHCARE,7,172
SPARK THERAPEUTICS INC,7,173
PHARVARIS NETHERLANDS B.V.,7,174
CRISPR THERAPEUTICS INC,7,175
IMMUNOGEN INC,7,176
"ESPERION THERAPEUTICS, INC",7,177
ENDOCEUTICS INC,7,178
GENZYME CORPORATION,7,179
ALKERMES INC,7,180
XENON PHARMACEUTICALS INC,7,181
UNITY HEALTH TORONTO,7,182
BAXALTA INNOVATIONS GMBH,6,183
"EPIZYME, INC.",6,184
LUNDBECK CANADA INC,6,185
ACERTA PHARMA BV,6,186
"AXSOME THERAPEUTICS, INC.",6,187
CSL BEHRING GMBH,6,188
IMMUNOVACCINE TECHNOLOGIES,6,189
MULTIDISIPLINARY ASSOCIATION FOR PSYCHEDELIC STUDIES,6,190
MOONLAKE IMMUNOTHERAPEUTICS AG,6,191
METSERA INC,6,192
APOPHARMA INC,6,193
"GALDERMA RESEARCH & DEVELOPMENT, LLC",6,194
ASSEMBLY BIOSCIENCES INCORPORATED,6,195
TAURX THERAPEUTICS LTD,6,196
GRIFOLS THERAPEUTICS INC,6,197
CHIMERIX INC,6,198
INTERCEPT PHARMACEUTICALS INC,6,199
"ARCUS BIOSCIENCES, INC.",6,200
"GENMAB US, INC",6,201
BIOMARIN PHARMACEUTICAL INC,6,202
"EIDOS THERAPEUTICS, INC.",6,203
DR NAVEEN POONAI,6,204
"SAGE THERAPEUTICS, INC",6,205
PHARMACYCLICS LLC,6,206
CYMABAY THERAPEUTICS INC,6,207
ST PAULS HOSPITAL VANCOUVER,6,208
BIONTECH SE,6,209
AVIDITY BIOSCIENCES,6,210
REBIOTIX INC,6,211
INSMED INC,6,212
KARTOS THERAPEUTICS INC,6,213
NEKTAR THERAPEUTICS,6,214
ABIVAX SA,6,215
THERAVANCE BIOPHARMA IRELAND LIMITED,6,216
ST JOSEPHS HEALTH CENTRE LONDON,6,217
KINGSTON HEALTH SCIENCE CENTRE,5,218
FORMA THERAPEUTICS INC,5,219
NATIONAL SURGICAL ADJUVANT BREAST AND BOWEL PROJECT FOUNDATION INC,5,220
"KOWA RESEARCH INSTITUTE, INC",5,221
SYMPHOGEN A/S,5,222
OCTAPHARMA PHARMAZEUTIKA PRODUKTIONSGES M B H,5,223
IPSEN INNOVATION,5,224
THUNDER BAY REGIONAL HEALTH RESEARCH INSTITUTE,5,225
COHERUS BIOSCIENCES INC.,5,226
CORCEPT THERAPEUTICS INC,5,227
CHU SAINTE JUSTINE,5,228
RA PHARMACEUTICALS INC,5,229
"GENZYME, A SANOFI COMPANY",5,230
ZOGENIX INTERNATIONAL LIMITED,5,231
RIGEL PHARMACEUTICALS INC.,5,232
"AIMMUNE THERAPEUTICS, INC",5,233
ALECTOR INC,5,234
FORUM PHARMACEUTICALS INC,5,235
SYNDAX PHARMACEUTICALS INC,5,236
CELLDEX THERAPEUTICS INC,5,237
STEMLINE THERAPEUTICS INC,5,238
"AEGLEA BIOTHERAPEUTICS, INC",5,239
GLOBAL BLOOD THERAPEUTICS INC,5,240
PURDUE PHARMA,5,241
ASANA BIOSCIENCES LLC,5,242
CARA THERAPEUTICS,5,243
CIUSSS DE L'EST DE L'ILE-DE-MONTRÉAL,5,244
ALUMIS INC.,5,245
