Sponsor,Total Protocols,Distinct Brands
DR MATTHIEU PELLETIER-GALARNEAU,1,1
DR MICHAEL DOMANSKI,1,1
DR MICHAEL TSOUKAS,2,1
DR MICHAEL VAN AMERINGEN,1,1
DR MICHEL PRUDHOMME,1,1
DR MICHEL WHITE,1,1
DR NAVEEN POONAI,6,5
DR PAUL SANDOR,1,1
DR PAVANI CHALASANI,1,1
DR PHILIPPA HAWLEY,1,1
DR PIERRE DUQUETTE,1,1
DR PRADEEPA YOGANATHAN,1,1
DR RICHARD BRULL,2,1
DR RICHARD MALTHANER,1,1
DR RICHARD WARREN,1,1
DR ROBERT F CASPER,1,1
DR RYAN FLANNIGAN,1,1
DR SAMMY SLIWIN,1,1
DR SARAH FERGUSON,1,1
DR SARAH HALES,1,1
DR SHANNON MARIO FERNANDO,1,1
DR SHANON HUMPHREY,1,1
DR SOHAM REJ,1,1
DR SOHEL SOMANI,2,2
DR SOUVIK MITRA,2,2
DR STEPHANE PELET,1,1
DR STEPHANIE LHEUREUX,3,3
DR SUDEEP SHIVAKUMAR,1,1
DR SYLVIA STOCKLER,1,1
DR VERINDER SHARMA,2,2
DR VIDUR SHYAM,1,1
DR VINCENT CHAN,1,1
DR YOO-JOUNG KO,1,1
DR. AHMAD HAIDAR,1,1
DR. ALI ABDALVAND,1,1
DR. ALI IMRAN,1,1
DR. AMIN JAVER,1,1
DR. AMIT OZA,1,1
DR. ANA MIRIAM VELLY,1,1
DR. ANCA PRICA,2,2
DR. ANDRIY V. SAMOKHVALOV,1,1
"DR. ANNA SPREAFICO, UNIVERSITY HEALTH NETWORK",1,1
DR. ARLENE STECENKO,1,1
"DR. ARUZ MESCI, UNIVERSITY HEALTH NETWORK",1,1
DR. AZIZ QAZI,1,1
DR. BRADLEY GREENE,1,1
DR. CARL A. LASKIN,1,1
DR. CONNOR MCGUIRE,1,1
DR. CORINA VELEHORSCHI,1,1
DR. DANIEL BLUMBERGER,1,1
DR. DARREN R. CHRISTENSEN,1,1
DR. DAVID BARBIC,1,1
DR. DAVID N. GINTHER,1,1
DR. DAVID SHADE,1,1
"DR. DI (MARIA) JIANG, UNIVERSITY HEALTH NETWORK",1,1
DR. EBERHARD RENNER,1,1
DR. ELISA BRIETZKE,1,1
DR. ERIC S. TAM,1,1
DR. EVELYNE D. TROTTIER,1,1
DR. FALK PHARMA GMBH,1,1
DR. GARTH MECKLER,1,1
DR. GERALD BATIST,1,1
"DR. GREGORY CHRISTOPHER KNAPP, QE II HEALTH SCIENCES CENTRE, NOVA SCOTIA HEALTH",1,1
DR. HAL SIDEN,1,1
DR. HASSAN RAZVI,1,1
DR. IAN DE BOER,1,1
"DR. ISLAM MOHAMED, BC CANCER- KELOWNA",1,1
DR. JAMES KIM,1,1
DR. JANET E. POPE,1,1
DR. JASON RIVERS,1,1
"DR. JOHN KURUVILLA, UNIVERSITY HEALTH NETWORK",3,3
DR. JOHN LENEHAN,2,2
DR. JONATHAN TROY GRENNAN,2,1
DR. JOSHUA D. ROSENBLAT,3,3
DR. KARI TIKKINEN,1,1
DR. KAZUHIRO YASUFUKU,1,1
"DR. KEVIN H. M. KUO, UNIVERSITY HEALTH NETWORK",1,1
DR. KEVIN PEHR,1,1
DR. KEYVAN KARKOUTI,2,2
DR. LAKSHMI YATHAM,2,2
DR. LISA BARRETT,1,1
DR. LOUIS-PHILIPPE BOULET,1,1
DR. LYSANNE CAMPEAU,2,2
DR. MANUEL MONTERO-ODASSO,1,1
"DR. MARC DE PERROT, UNIVERSITY HEALTH NETWORK",1,1
DR. MARC TEWFIK,1,1
"DR. MARCUS BUTLER, UNIVERSITY HEALTH NETWORK ¿ PRINCESS MARGARET CANCER CENTRE",1,1
DR. MARK BASIK,1,1
DR. MARK HULL,2,2
DR. MARK VINCENT,1,1
DR. MARSHA CAMPBELL-YEO,1,1
DR. MATHEW KIBERD,1,1
DR. MICHAEL COHEN-WOLKOWIEZ,1,1
DR. MONA LOUTFY,1,1
DR. NADINE SHEHATA,1,1
DR. PATRICK COUTURE,1,1
DR. PETER BLACK,1,1
DR. PETER COUROUX,1,1
DR. POUYA AZAR,1,1
DR. RAJEEV MUNI,1,1
DR. ROBERT THOMAS JAGOE,1,1
DR. RODRIGO B. MANSUR,2,2
DR. RUBY GREWAL,1,1
DR. RUDOLF UHER,1,1
DR. SARA BELGA MONTEIRO PEREIRA,1,1
DR. SARA KURUVILLA,1,1
DR. SARAH A MORROW,1,1
DR. SERGIO PEREIRA,1,1
DR. STEEVE PROVENCHER,3,2
DR. STEPHEN LOWNIE,1,1
DR. SUBODH VERMA,2,2
DR. SUNITA K.S. SINGH,1,1
DR. THOMAS WARKUS,1,1
DR. TOM APPLETON - WESTERN UNIVERSITY,1,1
DR. TYLER SAFRAN,1,1
"DR. UR METSER, MD, FRCPC",1,1
DR. VALÉRIE ZAPHIRATOS,1,1
DR. VICTOR TOAN LE,1,1
DR. VLADIMIR DZAVIK,1,1
DR. YULIYA KNYAHNYTSKA,1,1
DR. YVES PASTORE,1,1
"DR. YVETTE DREW, BC CANCER AGENCY",1,1
DR.COURTNEY CASSERLY,1,1
DUALITYBIO INC,1,1
DUCHESNAY INC,1,1
DUKE CLINICAL RESEARCH INSTITUTE,1,1
DYAX CORP,3,3
DYNAVAX TECHNOLOGIES CORPORATION,1,1
"DYNE THERAPEUTICS, INC",1,1
"E. MARC JOLICOEUR, MD",1,1
EAGLE PHARMACEUTICALS INC,1,1
EASTERN HEALTH REGIONAL HEALTH AUTHORITY,1,1
ECOGENE-21,1,1
"EDESA BIOTECH RESEARCH, INC",2,2
EDGE THERAPEUTICS INC,2,1
"EDITAS MEDICINE, INC.",2,2
EFFECTOR THERAPEUTICS INC,1,1
"EIDOS THERAPEUTICS, INC.",6,3
"EIGER BIOPHARMACEUTICALS, INC",3,2
"EIKON THERAPEUTICS, INC.",2,2
EISAI INC,28,24
EISAI LIMITED,4,4
ELDON LOH,1,1
"ELEDON PHARMACEUTICALS, INC.",3,2
ELEVATION ONCOLOGY INC.,1,1
ELEVEN BIOTHERAPEUTICS INC,3,2
ELI LILLY CANADA INC,169,102
"ELION THERAPEUTICS, INC.",1,1
"ELLODI PHARMACEUTICALS, LP",1,1
ELOXX PHARMACEUTICALS INC,2,1
"EMALEX BIOSCIENCES, INC",4,2
EMD SERONO A DIVISION OF EMD INC CANADA,1,1
"EMD SERONO RESEARCH & DEVELOPMENT INSTITUTE, INC",19,17
EMERGENT BIOSOLUTIONS CANADA INC,1,1
EMPOWER RESEARCH INC.,1,1
ENANTA PHARMACEUTICALS INC,5,3
ENDEAVOR BIOMEDICINES,2,1
ENDEVICA BIO,1,1
ENDOCEUTICS INC,7,3
ENDOCYTE INC,2,2
ENEAPHARM,1,1
ENGAGE THERAPEUTICS INC,1,1
ENGENE HOLDINGS,1,1
ENLIVEN THERAPEUTICS INC.,1,1
ENTOS PHARMACEUTICALS,1,1
"EPIZYME, INC.",6,4
"EPYGENIX THERAPEUTICS, INC.",2,1
EQUILIBRA BIOSCIENCE LLC,1,1
"EQUILLIUM, INC.",2,2
ERASCA INC,2,2
ERASMUS MC UNIVERSITY MEDICAL CENTER,1,1
"ES THERAPEUTICS, INC.",1,1
ESCALIER BIOSCIENCES B.V.,1,1
ESCIENT PHARMCEUTICALS INC,4,2
ESPERAS PHARMA INC,1,1
"ESPERION THERAPEUTICS, INC",7,3
ESSA PHARMA INC.,1,1
ESSA PHARMACEUTICALS CORP,1,1
ESTETRA SPRL,1,1
ESTETRA SRL,1,1
"ETHICON, A JOHNSON & JOHNSON COMPANY",2,2
EUPRAXIA PHARMACEUTICALS INC,2,2
EUROPEAN CARDIOVASCULAR RESEARCH INSTITUTE,1,1
EUROPEAN MYELOMA NETWORK (EMN),2,2
EVELO BIOSCIENCES INC,4,3
EVER NEURO PHARMA GMBH,1,1
EVME,1,1
EVOLUS INCORPORATED,1,1
EVOMMUNE INC,1,1
EXCIVA GMBH,1,1
EXELIXIS INC,8,7
EXSCIENTIA AI LTD,1,1
F2G LTD.,1,1
"FARADAY PHARMACEUTICALS, INC.",1,1
FERRING INC,11,7
FERRING PHARMACEUTICALS A S,2,2
FERRING VENTURES LIMITED,1,1
FIBROGEN INCORPORATED,5,3
FILAMENT HEALTH CORP.,2,2
FINCH RESEARCH AND DEVELOPMENT LLC,3,3
FIRST STRING RESEARCH INC,1,1
"FLAME BIOSCIENCES, INC.",1,1
FLAMEL IRELAND LTD TRADING UNDER THE BUSINESS NAME AVADEL IRELAND,1,1
FLEXION THERAPEUTICS INC,2,2
FORBIUS (FORMATION BIOLOGICS),2,2
FORE BIOTHERAPEUTICS U.S. INC,1,1
FOREST RESEARCH INSTITUTE,4,3
FORMA THERAPEUTICS INC,5,3
"FORTVITA BIOLOGICS (USA), INC.",1,1
FORUM PHARMACEUTICALS INC,5,2
FORWARD PHARMA GMBH,1,1
FRASER HEALTH AUTHORITY,1,1
FREELINE THERAPEUTICS LIMITED,1,1
"FUJIFILM KYOWA KIRIN BIOLOGICS CO, LTD",2,1
FULCRUM THERAPEUTICS,1,1
FUSION PHARMACEUTICALS INC.,3,3
GALAPAGOS NV,5,3
GALDERMA CANADA INC,8,7
"GALDERMA RESEARCH & DEVELOPMENT, LLC",6,2
GALECTIN THERAPEUTICS INC,1,1
GALECTO BIOTECH AB,1,1
GALERA THERAPEUTICS INC,3,3
"GALMED RESEARCH AND DEVELOPMENT, LTD.",1,1
GATHERING RESILIENCE GROUPS INCORPORATED,1,1
GAURAV GUPTA,2,2
GB001 INC,1,1
GB002 INC.,4,3
"GB005, INC.",1,1
GE HEALTHCARE LTD  & AFFILIATES,3,3
GEMPHIRE THERAPEUTICS INC,2,1
GENENTECH INC,51,48
GENEVA UNIVERSITY HOSPITALS,1,1
GENFIT,1,1
GENKYOTEX INNOVATION SAS,1,1
GENKYOTEX SA,1,1
"GENMAB US, INC",6,6
GENOVA INC.,1,1
GENZYME CANADA INC,1,1
GENZYME CORPORATION,7,5
"GENZYME, A SANOFI COMPANY",5,4
GERON CORPORATION,2,2
GICARE PHARMA INC,1,1
GILBERT BLAISE INC,3,2
GILEAD SCIENCES CANADA INC,118,73
GLAUKOS CORPORATION,1,1
GLAXOSMITHKLINE CONSUMER HEALTHCARE INC,1,1
GLAXOSMITHKLINE INC,204,135
GLENMARK PHARMACEUTICALS LTD,1,1
GLENMARK PHARMACEUTICALS S.A,2,1
"GLENN BAUMAN, LAWSON HEALTH RESEARCH INSTITUTE",1,1
GLOBAL ALZHEIMER'S PLATFORM FOUNDATION,1,1
GLOBAL BLOOD THERAPEUTICS INC,5,3
GLOBAL COALITION FOR ADAPTIVE RESEARCH,1,1
GLWL RESEARCH INC,1,1
GLYCOMIMETICS INC,1,1
GLYPHARMA THERAPEUTIC INC,1,1
GOGIUNTA,1,1
GORDON SUSSMAN CLINICAL RESEARCH INC,1,1
GOVERNORS OF THE UNIVERSITY OF ALBERTA,86,72
GOVERNORS OF THE UNIVERSITY OF CALGARY,28,21
GOVERNORS OF THE UNIVERSITY OF CALGARY / DR. VICTOR LUN,1,1
GOVERNORS OF THE UNIVERSITY OF CALGARY/DR. BIJOY MENON,1,1
GRACE THERAPEUTICS INC,1,1
GRANT PAGDIN,1,1
GREEN CROSS CORPORATION,3,3
"GREEN VALLEY (SHANGHAI) PHARMACEUTICALS CO., LTD",1,1
GRIFOLS BIOLOGICALS INC,1,1
GRIFOLS THERAPEUTICS INC,6,4
GRIGORY KARIM. DR. G KARMY MEDICINE PROFESSIONAL CORPORATION,1,1
"GRIN THERAPEUTICS, INC",2,1
GRUNENTHAL GMBH,2,2
GUARD THERAPEUTICS INTERNATIONAL AB,2,2
GUERBET,1,1
GW RESEARCH LIMITED,3,2
H. LUNDBECK A/S,10,6
HAL ALLERGY BV,3,3
"HALOZYME, INC",1,1
HALUCENEX LIFE SCIENCES INC,1,1
HAMILTON HEALTH SCIENCES CORPORATION,59,50
"HARMONY BIOSCIENCES MANAGEMENT, INC.",1,1
"HARMONY BIOSCIENCES, LLC",1,1
HEALTH SCIENCES NORTH RESEARCH INSTITUTE,1,1
HELSINN HEALTHCARE SA,1,1
"HERON THERAPEUTICS, INC.",1,1
HEXIRIS INC.,2,1
HIGHTIDE BIOPHARMA PROPRIETARY LIMITED,1,1
HIKMA PHARMACEUTICALS USA INC,1,1
HINOVA PHARMACEUTICALS INC,1,1
HISTOGENICS CORP,1,1
HOFFMANN-LA ROCHE LIMITED,264,224
"HOMOLOGY MEDICINES, INC.",1,1
HOPITAL CHARLES LEMOYNE,3,3
HOPITAL MAISONNEUVE ROSEMONT,10,10
HORIZON PHARMA IRELAND LTD,1,1
HORIZON THERAPEUTICS IRELAND DAC,7,7
HOSPITAL FOR SICK CHILDREN,24,21
"HOTSPOT THERAPEUTICS, INC",1,1
HOUSTON METHODIST RESEARCH INSTITUTE,1,1
HUMAN GENOME SCIENCES INC,1,1
"HUMAN IMMUNOLOGY BIOSCIENCES, INC. (HI-BIO)",2,2
"HUNTER STROKE SERVICE, HUNTER NEW ENGLAND LOCAL HEALTH DISTRICT",1,1
"HUYABIO INTERNATIONAL, LLC",1,1
"HYBRIDYNE IMAGING TECHNOLOGIES, INC",1,1
HYGEA CLINIC,2,2
HYLORIS DEVELOPMENTS SA,1,1
IBSA INSTITUT BIOCHIMIQUE SA,1,1
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,1,1
ICHNOS SCIENCES SA,1,1
ID BIOMEDICAL CORPORATION OF QUEBEC,4,3
"IDEAYA BIOSCIENCES, INC.",5,5
IDENIX PHARMACEUTICALS INC,1,1
IDERA PHARMACEUTICALS INC,1,1
IDORSIA PHARMACEUTICALS LTD,9,6
IGC PHARMA LLC,1,1
"IGM BIOSCIENCES, INC.",3,2
IKSUDA THERAPEUTICS LIMITED,1,1
ILKOS THERAPEUTICS INC,1,1
"IMAGINAB, INC.",1,1
"IMMATICS US, INC.",1,1
IMMUNABS INC.,1,1
IMMUNIC AG,1,1
IMMUNIMED. INC,1,1
"IMMUNITYBIO, INC.",2,2
IMMUNOCELLULAR THERAPEUTICS LTD,1,1
IMMUNOCORE LTD.,7,6
IMMUNOGEN INC,7,5
IMMUNOMEDICS INC,2,2
IMMUNOVACCINE TECHNOLOGIES,6,6
IMMUNOVANT SCIENCES GMBH,9,5
IMMUTEP S.A.S.,1,1
IMPRIMIS PHARMACEUTICALS INC,1,1
"IMUNON, INC.",1,1
"INCARDA THERAPEUTICS, INC.",1,1
INCYTE CORPORATION,74,35
"INDAPTUS THERAPEUTICS, INC.",1,1
INDEX PHARMACEUTICALS,1,1
INDIVIOR INC,1,1
INFINITY PHARMACEUTICALS INC,4,4
INFLARX GMBH,2,1
"INHIBIKASE THERAPEUTICS, INC.",1,1
INIMMUNE CORPORATION,1,1
INMAGENE LLC,3,1
INMUNE BIO INC.,2,2
INMUNOTEK S.L.,1,1
INNOVADERM RESEARCH INC,3,3
INO THERAPEUTICS,1,1
"INOVIO PHARMACEUTICALS, INC.",4,2
"INOZYME PHARMA, INC.",3,1
INSIGHTEC,15,9
INSMED INC,6,3
"INSTIL BIO, INC.",1,1
INSTITUT DE CARDIOLOGIE DE MTL,2,2
INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUEBEC,3,3
INSTITUTE FOR RESPIRATORY HEALTH INCORPORATED,1,1
INSTITUTE OF COSMETIC & LASER SURGERY,1,1
INSTITUTO GRIFOLS S.A.,3,3
INSYS DEVELOPMENT COMPANY INC,1,1
INTARCIA THERAPEUTICS INC,1,1
INTELGENX CORP,1,1
"INTELLIA THERAPEUTICS, INC.",2,2
INTENSITY THERAPEUTICS,1,1
INTERCEPT PHARMACEUTICALS INC,6,4
"INTERHEALTH NUTRACEUTICALS, INC.",1,1
INTERMUNE CANADA INC,1,1
INTERNATIONAL CENTER FOR HEALTH OUTCOMES AND INNOVATION RESEARCH,2,2
INVENTIVA S.A,2,2
INVENTPRISE INC.,2,1
INVENTVACC BIOLOGICS INC.,1,1
INVERSAGO PHARMA INC,4,2
IONIS PHARMACEUTICALS INC,38,23
"IOVANCE BIOTHERAPEUTICS, INC",4,4
IPSEN BIOPHARMACEUTICALS CANADA INC,2,2
IPSEN BIOSCIENCE INC,4,3
IPSEN INNOVATION,5,4
IPSEN PHARMA,4,3
IPSEN PHARMA SAS,2,2
IRCM  INSTITUT DE RECHERCHES CLINIQUES DE MONTREAL,1,1
IRONSHORE PHARMACEUTICALS & DEVELOPMENT INC,1,1
"IRONWOOD PHARMACEUTICALS, INC",2,1
"IRX THERAPEUTICS, INC",1,1
ISCHEMIX LLC,1,1
ISIS PHARMACEUTICALS INC,3,3
ISOFOL MEDICAL AB,1,1
ISOLOGIC INNOVATIVE RADIOPHARMACEUTICALS LTD.,2,1
ITALFARMACO S.P.A.,4,2
ITEOS BELGIUM SA,1,1
ITERION THERAPEUTICS,2,2
"IVERIC BIO, INC.",1,1
IXALTIS,1,1
"JAEB CENTER FOR HEALTH RESEARCH FOUNDATION, INC",8,5
JANSSEN INC,153,108
JANSSEN R&D IRELAND,3,3
JANSSEN RESEARCH AND DEVELOPMENT LLC,53,36
JANSSEN SCIENCES IRELAND UC,1,1
JANSSEN VACCINES & PREVENTION B.V.,1,1
"JASPER THERAPEUTICS, INC",1,1
JAZZ PHARMACEUTICALS INC,10,8
JAZZ PHARMACEUTICALS IRELAND LIMITED,9,8
JAZZ PHARMACEUTICALS RESEARCH UK LIMITED,1,1
JEROME STEVENS PHARMACEUTICALS INC.,1,1
JEWISH GENERAL HOSPITAL,24,26
JINA PHARMACEUTICALS INC,1,1
JOHAN VAN LIMBERGEN,1,1
JOHNS HOPKINS BLOOMBERG SCHOOL OF PUBLIC HEALTH,2,2
"JOHNSON & JOHNSON CONSUMER INC., MCNEIL CONSUMER HEALTHCARE DIVISION",1,1
JOUNCE THERAPEUTICS INC,1,1
JUBILANT HOLLISTERSTIER LLC,1,1
"K-GROUP BETA, INC.",1,1
K36 THERAPEUTICS INC.,1,1
"KAKEN PHARMACEUTICAL CO., LTD.",1,1
KALVISTA PHARMACEUTICALS LTD.,4,2
KANYOS BIO INC. (A WHOLLY OWNED SUBSIDIARY OF ANOKION S.A.),1,1
"KARDIGAN, INC.",1,1
KARTOS THERAPEUTICS INC,6,5
"KARYOPHARM THERAPEUTICS, INC.",14,7
KAZM PHARMACEUTICALS,1,1
KBP BIOSCIENCES PTE. LTD.,1,1
KEDRION S.P.A.,1,1
"KENTUCKY BIOPROCESSING, INC.",1,1
KIADIS PHARMA NETHERLANDS BV,2,2
"KINETA ONE, LLC",1,1
KINGSTON GENERAL HEALTH RESEARCH INSTITUTE,2,2
KINGSTON GENERAL HOSPITAL,1,1
KINGSTON HEALTH SCIENCE CENTRE,5,5
KINGSWAY ORAL AND MAXILLOFACIAL SURGERY,1,1
"KINIKSA PHARMACEUTICALS, GMBH",1,1
"KINIKSA PHARMACEUTICALS, LTD.",3,2
"KITE, A GILEAD COMPANY",4,4
KITEPHARMA INC,10,4
KOKUA PHARMA INC.,2,1
"KOWA RESEARCH INSTITUTE, INC",5,4
"KRIYA THERAPEUTICS, INC.",2,2
"KRONOS BIO, INC.",1,1
"KURA ONCOLOGY, INC.",2,2
"KYMAB LTD, A SANOFI COMPANY",1,1
"KYMERA THERAPEUTICS, INC.",1,1
KYOWA KIRIN PHARMACEUTICAL DEVELOPMENT INC,3,3
"KYOWA KIRIN, INC.",1,1
LA JOLLA PHARMACEUTICAL CO,1,1
LABORATOIRES NUTRITION ET CARDIOMÉTABOLISME,1,1
LABORATOIRES THEA,3,3
LABORATOIRES THÉA,1,1
LABORATORIOS SALVAT S A,1,1
LAHEY HOSPITAL AND MEDICAL CENTER,1,1
"LANTERN PHARMA, INC.",1,1
"LARIMAR THERAPEUTICS, INC.",1,1
LAURENT PHARMACEUTICALS,3,1
LAWSON HEALTH RESEARCH INSTITUTE,13,10
LEADING BIOSCIENCES INC,1,1
LEK PHARMACEUTICALS D D,1,1
LEO PHARMA AS,15,10
LEO PHARMA INC,11,5
LEVO THERAPEUTICS INC,1,1
"LEXEO THERAPEUTICS, INC.",1,1
LEXICON PHARMACEUTICALS INC,10,4
LG CHEM LTD,1,1
LIB THERAPEUTIC LLC,4,1
LIDDS AB,1,1
"LIGACHEM BIOSCIENCES, INC.",1,1
LIPOCINE INC,2,2
"LIQUIDIA TECHNOLOGIES, INC.",1,1
"LISATA THERAPEUTICS, INC.",1,1
LOCEMIA SOLUTIONS ULC,1,1
LONDON HEALTH SCIENCES CENTRE,24,23
LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,1,1
"LONGBOARD PHARMACEUTICALS, INC.",3,1
LOXO ONCOLOGY INC,7,6
LUMENA PHARMACEUTICALS INC,8,2
LUNDBECK CANADA INC,6,3
LUNDQUIST INSTITUTE FOR BIOMEDICAL INNOVATION AT HARBOR-UCLA MEDICAL CENTER,1,1
LYCERA CORP,2,1
"LYELL IMMUNOPHARMA, INC",1,1
MACANXIETY RESEARCH CENTRE,1,1
MACROGENICS INC,8,8
MADRIGAL PHARMACEUTICALS INC,2,1
MALLINCKRODT ARD INC,2,1
MALLINCKRODT ARD LLC,1,1
"MAPLIGHT THERAPEUTICS, INC.",3,2
"MAREA THERAPEUTICS, INC.",1,1
"MARENGO THERAPEUTICS, INC.",1,1
"MARINUS PHARMACEUTICALS, INC.",3,1
"MARIUS PHARMACEUTICALS, LLC",1,1
MASSACHUSETTS GENERAL HOSPITAL,1,1
MATRIZYME PHARMA CORPORATION,1,1
"MAVRIX BIO, LLC",1,1
"MAYNE PHARMA, LLC",1,1
MAYO CLINIC CANCER CENTER,1,1
MCGILL UNIVERSITY,10,7
MCGILL UNIVERSITY HEALTH CENTRE,18,18
MCGILL UNIVERSITY HEALTH CENTRE RESEARCH INSTITUTE,1,1
MCMASTER CHILDRENS HOSPITAL,2,2
MCMASTER UNIVERSITY,44,41
MCMASTER UNIVERSITY MEDICAL CENTRE,1,1
MCMASTER UNIVERSITY NUCLEAR MEDICINE PROGRAM,2,2
MDVI LLC,1,1
MEDA PHARMA GMBH & CO. KG,1,1
"MEDEOR THERAPEUTICS, INC.",1,1
MEDIAR THERAPEUTICS,1,1
MEDICA SCIENTIA INNOVATION RESEARCH,1,1
MEDICAGO INC,12,6
MEDICENNA THERAPEUTICS INC.,1,1
MEDICINOVA INC,1,1
"MEDILINK THERAPEUTICS (SUZHOU) CO., LTD.",2,2
MEDIMMUNE LIMITED,8,6
MEDIMMUNE LLC,18,16
MEDIPROBE RESEARCH INC,1,1
MEDITI PHARMA INC,1,1
MEDIVATION INC,4,4
MEDTRACE PHARMA A/S,1,1
MEDYTOX INC.,2,2
MEI PHARMA INC,3,3
MEIJI PHARMA USA INC,2,1
MEIRAGTX LLC,3,2
MEMORIAL UNIVERSITY,1,1
MEMORIAL UNIVERSITY OF NEWFOUNDLAND,1,1
MERCK CANADA INC,288,202
MERCK KGAA,11,10
MERCK SHARP & DOHME CORP,10,7
MEREO BIOPHARMA 3 LIMITED,1,1
MEREO BIOPHARMA 4 LTD,1,1
MERRIMACK PHARMACEUTICALS,4,4
"MERSANA THERAPEUTICS, INC",4,4
MERUS B.V.,3,3
MERZ PHARMA CANADA LTD,1,1
MERZ PHARMACEUTICALS GMBH,3,3
MERZ THERAPEUTICS GMBH,2,1
MESOBLAST INC,1,1
METSERA INC,6,6
MEZZION PHARMA CO. LTD.,3,1
MGB BIOPHARMA LIMITED,1,1
MICHAEL GARRON HOSPITAL,1,1
MICROBARIC OXYGEN SYSTEMS LLC,1,1
MILESTONE PHARMACEUTICALS INC,7,1
MILLENNIUM PHARMACEUTICALS INC,20,17
"MILTENYI BIOMEDICINE, GMBH",1,1
"MINERALYS THERAPEUTICS, INC.",2,1
MINNEAPOLIS MEDICAL RESEARCH FOUNDATION,1,1
"MIRADOR THERAPEUTICS, INC.",1,1
MIRAGEN THERAPEUTICS INC,2,2
MIRATI THERAPEUTICS INCORPORATED,2,2
"MIRUM PHARMACEUTICALS, INC",7,5
"MIRUM PHARMACEUTICALS, INC.",1,1
"MITSUBISHI TANABE PHARMA AMERICA, INC.",4,2
MITSUBISHI TANABE PHARMA DEVELOPMENT AMERICA INC,3,3
"MITSUBISHI TANABE PHARMACEUTICAL AMERICA, INC",1,1
MOBERG PHARMA AB,2,2
"MODERNATX, INC.",18,14
MOFFITT CANCER CENTER,1,1
MOLECULAR  INSIGHT  PHARMACEUTICALS INC,1,1
MOLECULAR TEMPLATES,1,1
MOMENTA PHARMACEUTICALS INC,4,2
MONOSOL RX LLC,1,1
"MONTE ROSA THERAPEUTICS, INC",1,1
MONTREAL CHILDRENS HOSPITAL,2,2
MONTREAL GENERAL HOSPITAL,1,1
MONTREAL HEART INSTITUTE,14,11
MONTREAL NEUROLOGICAL INSTITUTE,4,4
MOOD AND ANXIETY DISORDERS INC,1,1
MOONLAKE IMMUNOTHERAPEUTICS AG,6,1
"MORPHIC THERAPEUTIC, INC.",1,1
MOUNT SINAI HOSPITAL,16,14
MOUNT SINAI MEDICAL CENTER,1,1
MULTIDISIPLINARY ASSOCIATION FOR PSYCHEDELIC STUDIES,6,1
MUNDIPHARM RESEARCH GMBH & CO. KG,1,1
MUNDIPHARMA RESEARCH LIMITED,2,2
"MURAL ONCOLOGY, INC",2,2
MURDOCH CHILDREN'S RESEARCH INSTITUTE,1,1
"MYCOVIA PHARMACEUTICALS, INC.",1,1
MYELOMA CANADA RESEARCH NETWORK,3,3
MYLAN GMBH,2,1
MYLAN PHARMA UK LTD,1,1
MYLAN TECHNOLOGIES INC,1,1
MYOVANT SCIENCES GMBH,4,2
NATIONAL CANCER INSTITUTE DIVISION OF CANCER PREVENTION,3,1
NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (NIAID),2,2
NATIONAL INSTITUTE OF HEALTH,4,4
NATIONAL INSTITUTES OF HEALTH,2,2
NATIONAL MARROW DONOR PROGRAM,1,1
NATIONAL SURGICAL ADJUVANT BREAST AND BOWEL PROJECT FOUNDATION INC,1,5
"NAUREX, INC",1,1
"NAVIGATOR MEDICINES, INC.",1,1
NCIC CLINICAL TRIALS GROUP QUEENS UNIVERSITY,9,9
NEKTAR THERAPEUTICS,6,5
NEOKERA LLC,2,1
NEOLEUKIN THERAPEUTICS INC.,1,1
NEOMED INSTITUTE,1,1
NEOMORPH INC.,1,1
NEPHRON PHARMACEUTICALS CORP,2,1
NERRE THERAPEUTICS LTD,1,1
"NEUMORA THERAPEUTICS, INC. (NEUMORA)",2,1
NEURACLE GENETICS INC.,1,1
NEURALTUS PHARMACEUTICALS INC,1,1
NEURALY INC,1,1
NEUREN PHARMACEUTICALS LTD.,1,1
NEURIM PHARMACEUTICALS (1991) LTD,1,1
NEUROCRINE BIOSCIENCES INC,9,6
NEUROGENE INC.,1,1
NEUROSENSE THERAPEUTICS,1,1
NEUROTRIALS LLC,1,1
NEWAMSTERDAM  PHARMA B.V.,2,2
NEWLINK GENETICS,1,1
NEWRON PHARMACEUTICALS S.P.A.,1,1
NEXT CONSORTIUM,1,1
"NGM BIOPHARMACEUTICALS, INC.",1,1
NICHOLAS JAMES AINSWORTH,1,1
NIGHTSTARX LTD,2,2
"NIMBUS LAKSHMI, INC.",1,1
"NIMBUS WADJET, INC.",1,1
NITRIC SOLUTIONS INC,1,1
"NKGEN BIOTECH, INC.",1,1
NMD PHARMA A/S,1,1
"NOBIAS THERAPEUTICS, INC",1,1
"NOCION THERAPEUTICS, INC",1,1
NOEMA PHARMA AG,1,1
NONO INC,5,3
NORTHERN BIOLOGICS,1,1
NORTHERN THERAPEUTICS INC.,2,2
NORTHSEA THERAPEUTICS B.V.,1,1
NORTHWEST BIOTHERAPEUTICS INC,2,1
