Sponsor,Total Protocols,Distinct Brands
APCINTEX LIMITED,2,1
"APELLIS PHARMACEUTICALS, INC",8,2
APEX LABS INC.,2,2
APEX LABS LTD,1,1
"APNIMED, INC",2,2
"APOGEE THERAPEUTICS, INC",3,2
"APOLLO THERAPEUTICS, LIMITED",1,1
APOLLOMICS INC.,1,1
APOPHARMA INC,6,2
APPILI THERAPEUTICS INC,2,1
APPLIED GENETIC TECHNOLOGIES CORPORATION,1,1
APPLIED MOLECULAR TRANSPORT INC.,1,1
"APPLIED THERAPEUTICS, INC.",1,1
APTOSE BIOSCIENCES INC,1,1
AQUINOX PHARMACEUTICALS INC,3,1
ARADIGM CORPORATION,2,1
ARAGON PHARMACEUTICALS,1,1
ARAMIS BIOTECHNOLOGIES,1,1
"ARAVIVE, INC.",1,1
ARBUTUS BIOPHARMA CORPORATION,4,4
ARCA BIOPHARMA INC,1,1
ARCH BIOPARTNERS INC.,2,1
"ARCTURUS THERAPEUTICS, INC.",1,1
"ARCUS BIOSCIENCES, INC.",6,6
"ARCUTIS BIOTHERAPEUTICS, INC",15,6
"ARCUTIS, INC",2,2
ARENA PHARMACEUTICALS INC,8,3
"ARETEIA THERAPEUTICS, INC",3,1
ARGENX BV,27,13
ARIAD PHARMACEUTICALS INC,4,3
ARISTEA THERAPEUTICS INC,3,1
ARMO BIOSCIENCES INC,1,1
"ARO BIOTHERAPEUTICS, INC.",1,1
"AROG PHARMACEUTICALS, INC",1,1
ARRAY BIOPHARMA INC,11,10
ARRAYUS TECHNOLOGIES INC.,1,1
"ARRIVENT BIOPHARMA, INC.",3,3
"ARROWHEAD PHARMACEUTICALS, INC.",16,11
"ARTHEX BIOTECH, S.L.",1,1
ARTHOGEN B.V,1,1
"ARTIVA BIOTHERAPEUTICS, INC",1,1
"ARUVANT SCIENCES, GMBH",1,1
"ARVINAS ANDROGEN RECEPTOR, INC.",1,1
ARVINAS ESTROGEN RECEPTOR INC.,1,1
"ARVINAS OPERATIONS, INC.",1,1
ASAHI KASEI PHARMA AMERICA CORPORATION,1,1
ASAHI KASEI PHARMA CORPORATION,1,1
ASANA BIOSCIENCES LLC,5,2
ASCENDIS PHARMA BONE DISEASES A/S,2,1
ASCENDIS PHARMA ENDOCRINOLOGY DIVISION A/S,4,2
ASCENDIS PHARMA GROWTH DISORDERS A/S,4,2
ASCENDIS PHARMA INC.,1,1
ASCENDIS PHARMA ONCOLOGY DIVISION A/S,1,1
ASCENTAGE PHARMA GROUP INC.,4,4
"ASKLEPIOS BIOPHARMACEUTICAL, INC.",1,1
ASLAN PHARMACEUTICALS PTE. LTD,2,2
ASMACURE LTEE,1,1
"ASPA THERAPEUTICS, INC, A SUBSIDIARY OF BRIDGEBIO PHARMA",1,1
ASPEN GLOBAL INCORPORATED,1,1
ASSEMBLY BIOSCIENCES INCORPORATED,6,5
ASSISTANCE PUBLIQUE - HÔPITAUX DE PARIS,2,2
"ASTELLAS GENE THERAPIES, INC.",1,1
ASTELLAS PHARMA CANADA INC,1,1
ASTELLAS PHARMA EUROPE B.V.,4,2
ASTELLAS PHARMA GLOBAL DEVELOPMENT INC,36,27
ASTEX PHARMACEUTICALS INC.,8,7
ASTRAZENECA,1,1
ASTRAZENECA AB,96,80
ASTRAZENECA CANADA INC,212,144
"ASTRIA THERAPEUTICS, INC.",4,3
ASUBIO PHARMACEUTICALS INC.,1,1
"ATAI THERAPEUTICS, INC.",1,1
"ATARA BIOTHERAPEUTICS, INC",4,3
ATEA PHARMACEUTICALS INC,4,4
ATMA CENA PSYCHEDELIC HEALTHCARE SOLUTIONS,1,1
ATMA JOURNEY CENTRES,2,1
"ATOSSA THERAPEUTICS, INC.",1,1
"ATTOVIA THERAPEUTICS, INC.",1,1
"AURA BIOSCIENCES, INC.",1,1
AURICULA BIOSCIENCES INC,1,1
AURINIA PHARMACEUTICALS INC,2,1
AURION BIOTECH INC.,1,1
AURIS MEDICAL INC,3,3
AURORA CANNABIS ENTERPRISES INC,1,1
"AUSPEX PHARMACEUTICALS, INCORPORATED",2,1
AVADEL CNS PHARMACEUTICALS,1,1
"AVALO THERAPEUTICS, INC.",1,1
AVALYN PHARMA INC,3,2
AVANIR PHARMACEUTICALS,2,1
AVEO PHARMACEUTICALS INC,3,3
"AVEXIS, INC",1,1
AVID RADIOPHARMACEUTICALS INC,3,2
AVIDITY BIOSCIENCES,6,4
"AVM BIOTECHNOLOGY, LLC",1,1
AVROBIO INC,2,2
"AXCELLA HEALTH, INC",2,2
AXIKIN PHARMACEUTICALS INC,1,1
AXOVANT SCIENCES LTD,4,1
"AXSOME THERAPEUTICS, INC.",6,4
"AYALA PHARMACEUTICALS, INC.",1,1
AZIENDA SOCIO SANITARIA TERRITORIALE GRANDE OSPEDALE METROPOLITANO NIGUARDA,1,1
"AZTHERAPIES, INC",1,1
AZURA OPHTHALMICS,1,1
BANTAM PHARMACEUTICALS,1,1
BARBARA ANN KARMANOS CANCER INSTITUTE,1,1
BASIC PHARMA TECHNOLOGIES BV,1,1
BASILEA PHARMACEUTICA INTERNATIONAL LTD,1,1
"BASKING BIOSCIENCES, INC",1,1
BAUSCH & LOMB CANADA INC,1,1
"BAUSCH HEALTH AMERICAS, INC.",4,4
BAXALTA INNOVATIONS GMBH,6,6
BAXALTA US INC,7,7
BAXTER HEALTHCARE CORPORATION,3,3
BAXTER INNOVATIONS GMBH,1,1
