protocol_id,protocol_no,submission_no,status_id,start_date,end_date,nol_date,protocol_title,medConditionList,studyPopulationList
36055,CTT116855,174334,2,2014-06-26,2017-07-17,2014-05-29,"A PHASE III, 52 WEEK, RANDOMIZED, DOUBLE-BLIND, 3-ARM PARALLEL GROUP STUDY, COMPARING THE EFFICACY, SAFETY AND TOLERABILITY OF THE FIXED DOSE TRIPLE COMBINATION FF/UMEC/VI WITH THE FIXED DOSE DUAL COMBINATIONS OF FF/VI AND UMEC/VI, ALL ADMINISTERED ONCE-DAILY IN THE MORNING VIA A DRY POWDER INHALER IN SUBJECTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE","[{'med_condition_id': 47, 'med_condition': 'CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
36796,1000044746,176598,2,2018-09-25,2020-09-18,2014-08-20,THE PROTECTIVE EFFECT OF THE ALPHA2-AGONIST DEXMEDETOMIDINE ON MITOCHONDRIAL STRUCTURE AND FUNCTION FOR CHILDREN WITH NON-CYANOTIC CONGENITAL HEART DEFECTS HAVING CARDIAC SURGERY: A RANDOMIZED CONTROLLED TRIAL.,"[{'med_condition_id': 294, 'med_condition': 'CARDIAC SURGERY'}]","[{'study_population_id': 3, 'study_population': 'PEDIATRIC'}]"
36799,AC220-007,176602,2,2016-12-28,2021-03-09,2014-08-22,A PHASE 3 OPEN-LABEL RANDOMIZED STUDY OF QUIZARTINIB (AC220) MONOTHERAPY VERSUS SALVAGE CHEMOTHERAPY IN SUBJECTS WITH FLT3-ITD POSITIVE ACUTE MYELOID LEUKEMIA (AML) REFRACTORY TO OR RELAPSED AFTER FIRST-LINE TREATMENT WITH OR WITHOUT HEMATOPOIETIC STEM CELL TRANSPLANT (HSCT) CONSOLIDATION,"[{'med_condition_id': 6, 'med_condition': 'ACUTE MYELOGENOUS LEUKEMIA'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
35714,GO27878,173206,2,2015-08-10,2019-10-19,2014-04-25,"A PHASE IB/II, OPEN-LABEL STUDY EVALUATING THE SAFETY AND PHARMACOKINETICS OF GDC-0199 (ABT-199) IN COMBINATION WITH RITUXIMAB (R) OR OBINUTUZUMAB (G) PLUS CYCLOPHOSPHAMIDE, DOXORUBICIN, VINCRISTINE, AND PREDNISONE (CHOP) IN PATIENTS WITH B-CELL NON-HODGKIN'S LYMPHOMA (NHL) AND DLBCL","[{'med_condition_id': 177, 'med_condition': 'NON-HODGKIN LYMPHOMA'}, {'med_condition_id': 150, 'med_condition': 'DIFFUSE LARGE B-CELL LYMPHOMA'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
36483,CSL627_3001,175579,2,,2017-05-17,2014-07-08,"A PHASE III OPEN LABEL, MULTICENTER, EXTENSION STUDY TO ASSESS THE SAFETY AND EFFICACY OF RECOMBINANT COAGULATION FACTOR VIII (RVIII-SINGLE CHAIN, CSL627) IN SUBJECTS WITH SEVERE HEMOPHILIA A","[{'med_condition_id': 99, 'med_condition': 'HEMOPHILIA A'}]","[{'study_population_id': 3, 'study_population': 'PEDIATRIC'}, {'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
36493,SUSTAIN CSX-01,175599,1,2018-10-10,,2014-07-18,TO EVALUATE THE EFFECT OF THE ADMINISTRATION OF DAILY PERIOPERATIVE SELENIUM-SELENITE ON RECOVERY AND COMPLICATIONS IN CARDIAC SURGICAL PATIENTS.,"[{'med_condition_id': 294, 'med_condition': 'CARDIAC SURGERY'}]","[{'study_population_id': 1, 'study_population': 'ADULT MALE'}, {'study_population_id': 2, 'study_population': 'ADULT FEMALE'}]"
28612,DRB436X2201 (BRF117019),169167,2,2017-11-28,2019-05-14,2013-11-15,"A PHASE II, OPEN-LABEL, STUDY IN SUBJECTS WITH BRAF V600E-MUTATED RARE CANCERS WITH SEVERAL HISTOLOGIES TO INVESTIGATE THE CLINICAL EFFICACY AND SAFETY OF THE COMBINATION THERAPY OF DABRAFENIB AND TRAMETINIB","[{'med_condition_id': 26, 'med_condition': 'BRAF MUTATION-POSITIVE TUMORS'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
37638,CER21118,179221,3,,,2014-11-27,USE OF CANAKINUMAB FOR THE TREATMENT OF EXACERBATIONS OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE: PROTECTIVE EFFECT ON LOCOMOTOR MUSCLES,"[{'med_condition_id': 47, 'med_condition': 'CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)'}]","[{'study_population_id': 2, 'study_population': 'ADULT FEMALE'}, {'study_population_id': 1, 'study_population': 'ADULT MALE'}]"
36829,NIH R01,176686,1,2014-10-22,,2014-08-21,IMMUNE RESPONSE TO HIGH-DOSE VS. STANDARD DOSE INFLUENZA VACCINE,"[{'med_condition_id': 131, 'med_condition': 'INFLUENZA'}]","[{'study_population_id': 1, 'study_population': 'ADULT MALE'}, {'study_population_id': 2, 'study_population': 'ADULT FEMALE'}]"
44641,PRO 66218,201939,2,2019-09-26,2021-06-22,2017-02-10,"A PROSPECTIVE, MULTI-CENTER, RANDOMIZED CONTROLLED TRIAL COMPARING FECAL MICROBIOTA TRANSPLANTATION (FMT) TO PLACEBO IN THE TREATMENT OF MILD TO MODERATE CROHN'S DISEASE","[{'med_condition_id': 57, 'med_condition': ""CROHN'S DISEASE""}]","[{'study_population_id': 1, 'study_population': 'ADULT MALE'}, {'study_population_id': 2, 'study_population': 'ADULT FEMALE'}]"
